item_id,order_id,product_id,quantity,unit_price,discount_amount,total_amount
ITEM-000001,ORD-00001,PROD-0001,1,85654.19,0.0,85654.19
ITEM-000002,ORD-00001,PROD-0069,3,4275.33,0.0,12825.99
ITEM-000003,ORD-00002,PROD-0022,2,10152.93,2030.59,18275.27
ITEM-000004,ORD-00002,PROD-0052,1,814.65,81.47,733.18
ITEM-000005,ORD-00003,PROD-0076,2,23557.35,7067.2,40047.5
ITEM-000006,ORD-00004,PROD-0031,2,43799.96,0.0,87599.92
ITEM-000007,ORD-00004,PROD-0012,1,51591.73,0.0,51591.73
ITEM-000008,ORD-00004,PROD-0042,1,472.22,0.0,472.22
ITEM-000009,ORD-00004,PROD-0039,2,738.18,0.0,1476.36
ITEM-000010,ORD-00004,PROD-0077,5,18535.55,0.0,92677.75
ITEM-000011,ORD-00005,PROD-0049,1,543.64,54.36,489.28
ITEM-000012,ORD-00005,PROD-0077,2,18535.55,3707.11,33363.99
ITEM-000013,ORD-00006,PROD-0057,1,3014.34,452.15,2562.19
ITEM-000014,ORD-00006,PROD-0025,5,13690.5,10267.88,58184.62
ITEM-000015,ORD-00006,PROD-0001,2,85654.19,25696.26,145612.12
ITEM-000016,ORD-00007,PROD-0035,2,32410.39,16205.19,48615.59
ITEM-000017,ORD-00007,PROD-0030,1,7630.74,1907.68,5723.06
ITEM-000018,ORD-00007,PROD-0072,1,3464.52,866.13,2598.39
ITEM-000019,ORD-00007,PROD-0066,1,3066.74,766.68,2300.06
ITEM-000020,ORD-00007,PROD-0036,3,29238.48,21928.86,65786.58
ITEM-000021,ORD-00008,PROD-0010,2,29080.61,17448.37,40712.85
ITEM-000022,ORD-00008,PROD-0060,1,239.31,71.79,167.52
ITEM-000023,ORD-00009,PROD-0001,2,85654.19,34261.68,137046.7
ITEM-000024,ORD-00009,PROD-0050,5,1843.01,1843.01,7372.04
ITEM-000025,ORD-00010,PROD-0029,2,26905.65,0.0,53811.3
ITEM-000026,ORD-00011,PROD-0068,2,10709.38,3212.81,18205.95
ITEM-000027,ORD-00012,PROD-0007,2,64234.24,19270.27,109198.21
ITEM-000028,ORD-00012,PROD-0014,1,1370.35,205.55,1164.8
ITEM-000029,ORD-00012,PROD-0049,3,543.64,244.64,1386.28
ITEM-000030,ORD-00013,PROD-0019,1,13763.21,1376.32,12386.89
ITEM-000031,ORD-00013,PROD-0066,4,3066.74,1226.7,11040.26
ITEM-000032,ORD-00013,PROD-0012,3,51591.73,15477.52,139297.67
ITEM-000033,ORD-00013,PROD-0043,1,1299.09,129.91,1169.18
ITEM-000034,ORD-00014,PROD-0077,5,18535.55,18535.55,74142.2
ITEM-000035,ORD-00015,PROD-0039,1,738.18,36.91,701.27
ITEM-000036,ORD-00015,PROD-0006,1,78104.58,3905.23,74199.35
ITEM-000037,ORD-00016,PROD-0070,1,26338.96,0.0,26338.96
ITEM-000038,ORD-00017,PROD-0009,1,113999.83,28499.96,85499.87
ITEM-000039,ORD-00017,PROD-0059,1,955.76,238.94,716.82
ITEM-000040,ORD-00018,PROD-0054,2,4451.78,2671.07,6232.49
ITEM-000041,ORD-00019,PROD-0038,3,15629.94,14066.95,32822.87
ITEM-000042,ORD-00019,PROD-0039,1,738.18,221.45,516.73
ITEM-000043,ORD-00020,PROD-0003,2,32384.66,0.0,64769.32
ITEM-000044,ORD-00020,PROD-0059,2,955.76,0.0,1911.52
ITEM-000045,ORD-00020,PROD-0019,1,13763.21,0.0,13763.21
ITEM-000046,ORD-00020,PROD-0067,2,12793.32,0.0,25586.64
ITEM-000047,ORD-00021,PROD-0060,1,239.31,0.0,239.31
ITEM-000048,ORD-00021,PROD-0036,1,29238.48,0.0,29238.48
ITEM-000049,ORD-00022,PROD-0076,2,23557.35,2355.74,44758.96
ITEM-000050,ORD-00023,PROD-0050,3,1843.01,0.0,5529.03
ITEM-000051,ORD-00023,PROD-0015,1,11857.0,0.0,11857.0
ITEM-000052,ORD-00023,PROD-0022,1,10152.93,0.0,10152.93
ITEM-000053,ORD-00024,PROD-0068,3,10709.38,3212.81,28915.33
ITEM-000054,ORD-00024,PROD-0018,1,13595.1,1359.51,12235.59
ITEM-000055,ORD-00025,PROD-0008,2,112318.49,22463.7,202173.28
ITEM-000056,ORD-00026,PROD-0054,1,4451.78,0.0,4451.78
ITEM-000057,ORD-00026,PROD-0025,1,13690.5,0.0,13690.5
ITEM-000058,ORD-00026,PROD-0034,3,10118.15,0.0,30354.45
ITEM-000059,ORD-00027,PROD-0024,2,855.93,85.59,1626.27
ITEM-000060,ORD-00028,PROD-0067,2,12793.32,0.0,25586.64
ITEM-000061,ORD-00029,PROD-0001,2,85654.19,42827.1,128481.28
ITEM-000062,ORD-00029,PROD-0011,1,8972.23,2243.06,6729.17
ITEM-000063,ORD-00029,PROD-0023,2,9803.45,4901.73,14705.17
ITEM-000064,ORD-00029,PROD-0002,2,121819.8,60909.9,182729.7
ITEM-000065,ORD-00030,PROD-0048,1,1883.43,94.17,1789.26
ITEM-000066,ORD-00031,PROD-0075,4,17455.24,6982.1,62838.86
ITEM-000067,ORD-00031,PROD-0012,1,51591.73,5159.17,46432.56
ITEM-000068,ORD-00032,PROD-0047,1,1537.69,0.0,1537.69
ITEM-000069,ORD-00033,PROD-0035,2,32410.39,6482.08,58338.7
ITEM-000070,ORD-00034,PROD-0008,2,112318.49,0.0,224636.98
ITEM-000071,ORD-00034,PROD-0032,2,27601.51,0.0,55203.02
ITEM-000072,ORD-00035,PROD-0017,1,14949.48,1494.95,13454.53
ITEM-000073,ORD-00035,PROD-0038,1,15629.94,1562.99,14066.95
ITEM-000074,ORD-00036,PROD-0040,1,354.18,0.0,354.18
ITEM-000075,ORD-00036,PROD-0006,2,78104.58,0.0,156209.16
ITEM-000076,ORD-00036,PROD-0046,1,1068.78,0.0,1068.78
ITEM-000077,ORD-00037,PROD-0011,3,8972.23,2691.67,24225.02
ITEM-000078,ORD-00037,PROD-0069,3,4275.33,1282.6,11543.39
ITEM-000079,ORD-00038,PROD-0036,3,29238.48,26314.63,61400.81
ITEM-000080,ORD-00038,PROD-0003,3,32384.66,29146.19,68007.79
ITEM-000081,ORD-00038,PROD-0032,1,27601.51,8280.45,19321.06
ITEM-000082,ORD-00039,PROD-0066,1,3066.74,0.0,3066.74
ITEM-000083,ORD-00039,PROD-0070,2,26338.96,0.0,52677.92
ITEM-000084,ORD-00039,PROD-0019,1,13763.21,0.0,13763.21
ITEM-000085,ORD-00039,PROD-0016,1,13284.93,0.0,13284.93
ITEM-000086,ORD-00040,PROD-0036,1,29238.48,1461.92,27776.56
ITEM-000087,ORD-00040,PROD-0052,5,814.65,203.66,3869.59
ITEM-000088,ORD-00041,PROD-0030,3,7630.74,5723.06,17169.16
ITEM-000089,ORD-00041,PROD-0055,2,3269.86,1634.93,4904.79
ITEM-000090,ORD-00041,PROD-0005,2,93567.0,46783.5,140350.5
ITEM-000091,ORD-00041,PROD-0049,2,543.64,271.82,815.46
ITEM-000092,ORD-00041,PROD-0052,1,814.65,203.66,610.99
ITEM-000093,ORD-00042,PROD-0048,2,1883.43,376.69,3390.17
ITEM-000094,ORD-00043,PROD-0063,1,3661.31,183.07,3478.24
ITEM-000095,ORD-00043,PROD-0023,1,9803.45,490.17,9313.28
ITEM-000096,ORD-00044,PROD-0078,2,14307.56,7153.78,21461.34
ITEM-000097,ORD-00045,PROD-0053,2,1974.19,789.68,3158.7
ITEM-000098,ORD-00046,PROD-0050,1,1843.01,460.75,1382.26
ITEM-000099,ORD-00047,PROD-0059,4,955.76,382.3,3440.74
ITEM-000100,ORD-00048,PROD-0053,1,1974.19,197.42,1776.77
ITEM-000101,ORD-00048,PROD-0023,1,9803.45,980.35,8823.1
ITEM-000102,ORD-00049,PROD-0076,2,23557.35,0.0,47114.7
ITEM-000103,ORD-00049,PROD-0077,1,18535.55,0.0,18535.55
ITEM-000104,ORD-00050,PROD-0078,1,14307.56,2861.51,11446.05
ITEM-000105,ORD-00050,PROD-0071,2,3798.51,1519.4,6077.62
ITEM-000106,ORD-00050,PROD-0032,1,27601.51,5520.3,22081.21
ITEM-000107,ORD-00050,PROD-0028,5,14434.11,14434.11,57736.44
ITEM-000108,ORD-00051,PROD-0060,1,239.31,71.79,167.52
ITEM-000109,ORD-00051,PROD-0064,1,2018.49,605.55,1412.94
ITEM-000110,ORD-00052,PROD-0056,1,1266.18,189.93,1076.25
ITEM-000111,ORD-00052,PROD-0002,2,121819.8,36545.94,207093.66
ITEM-000112,ORD-00052,PROD-0039,1,738.18,110.73,627.45
ITEM-000113,ORD-00052,PROD-0016,4,13284.93,7970.96,45168.76
ITEM-000114,ORD-00053,PROD-0078,1,14307.56,2146.13,12161.43
ITEM-000115,ORD-00053,PROD-0032,2,27601.51,8280.45,46922.57
ITEM-000116,ORD-00053,PROD-0013,2,116727.16,35018.15,198436.17
ITEM-000117,ORD-00054,PROD-0077,1,18535.55,1853.56,16681.99
ITEM-000118,ORD-00054,PROD-0011,1,8972.23,897.22,8075.01
ITEM-000119,ORD-00054,PROD-0020,1,7859.34,785.93,7073.41
ITEM-000120,ORD-00054,PROD-0017,1,14949.48,1494.95,13454.53
ITEM-000121,ORD-00054,PROD-0052,2,814.65,162.93,1466.37
ITEM-000122,ORD-00055,PROD-0060,1,239.31,0.0,239.31
ITEM-000123,ORD-00055,PROD-0052,2,814.65,0.0,1629.3
ITEM-000124,ORD-00056,PROD-0009,3,113999.83,34199.95,307799.54
ITEM-000125,ORD-00056,PROD-0040,3,354.18,106.25,956.29
ITEM-000126,ORD-00056,PROD-0030,2,7630.74,1526.15,13735.33
ITEM-000127,ORD-00057,PROD-0028,1,14434.11,3608.53,10825.58
ITEM-000128,ORD-00057,PROD-0039,1,738.18,184.54,553.64
ITEM-000129,ORD-00058,PROD-0064,4,2018.49,1614.79,6459.17
ITEM-000130,ORD-00058,PROD-0042,3,472.22,283.33,1133.33
ITEM-000131,ORD-00058,PROD-0020,1,7859.34,1571.87,6287.47
ITEM-000132,ORD-00059,PROD-0079,2,2367.89,947.16,3788.62
ITEM-000133,ORD-00060,PROD-0050,1,1843.01,368.6,1474.41
ITEM-000134,ORD-00060,PROD-0039,3,738.18,442.91,1771.63
ITEM-000135,ORD-00061,PROD-0018,2,13595.1,0.0,27190.2
ITEM-000136,ORD-00061,PROD-0038,2,15629.94,0.0,31259.88
ITEM-000137,ORD-00061,PROD-0002,1,121819.8,0.0,121819.8
ITEM-000138,ORD-00061,PROD-0043,2,1299.09,0.0,2598.18
ITEM-000139,ORD-00062,PROD-0030,1,7630.74,381.54,7249.2
ITEM-000140,ORD-00063,PROD-0055,4,3269.86,653.97,12425.47
ITEM-000141,ORD-00063,PROD-0078,2,14307.56,1430.76,27184.36
ITEM-000142,ORD-00063,PROD-0014,2,1370.35,137.03,2603.67
ITEM-000143,ORD-00063,PROD-0080,1,47311.93,2365.6,44946.33
ITEM-000144,ORD-00064,PROD-0070,2,26338.96,10535.58,42142.34
ITEM-000145,ORD-00064,PROD-0005,3,93567.0,56140.2,224560.8
ITEM-000146,ORD-00064,PROD-0048,1,1883.43,376.69,1506.74
ITEM-000147,ORD-00064,PROD-0052,2,814.65,325.86,1303.44
ITEM-000148,ORD-00065,PROD-0001,1,85654.19,12848.13,72806.06
ITEM-000149,ORD-00066,PROD-0013,1,116727.16,29181.79,87545.37
ITEM-000150,ORD-00066,PROD-0068,1,10709.38,2677.34,8032.04
ITEM-000151,ORD-00067,PROD-0038,1,15629.94,1562.99,14066.95
ITEM-000152,ORD-00067,PROD-0001,3,85654.19,25696.26,231266.31
ITEM-000153,ORD-00068,PROD-0033,1,45327.59,6799.14,38528.45
ITEM-000154,ORD-00069,PROD-0029,5,26905.65,6726.41,127801.84
ITEM-000155,ORD-00070,PROD-0062,1,4002.89,400.29,3602.6
ITEM-000156,ORD-00070,PROD-0080,1,47311.93,4731.19,42580.74
ITEM-000157,ORD-00071,PROD-0064,1,2018.49,0.0,2018.49
ITEM-000158,ORD-00072,PROD-0022,1,10152.93,2030.59,8122.34
ITEM-000159,ORD-00073,PROD-0045,3,523.28,0.0,1569.84
ITEM-000160,ORD-00073,PROD-0008,3,112318.49,0.0,336955.47
ITEM-000161,ORD-00073,PROD-0029,1,26905.65,0.0,26905.65
ITEM-000162,ORD-00073,PROD-0054,1,4451.78,0.0,4451.78
ITEM-000163,ORD-00073,PROD-0012,2,51591.73,0.0,103183.46
ITEM-000164,ORD-00074,PROD-0075,2,17455.24,0.0,34910.48
ITEM-000165,ORD-00074,PROD-0077,2,18535.55,0.0,37071.1
ITEM-000166,ORD-00074,PROD-0010,1,29080.61,0.0,29080.61
ITEM-000167,ORD-00075,PROD-0025,2,13690.5,1369.05,26011.95
ITEM-000168,ORD-00075,PROD-0039,3,738.18,110.73,2103.81
ITEM-000169,ORD-00076,PROD-0040,2,354.18,212.51,495.85
ITEM-000170,ORD-00076,PROD-0036,1,29238.48,8771.54,20466.94
ITEM-000171,ORD-00076,PROD-0058,1,3021.89,906.57,2115.32
ITEM-000172,ORD-00076,PROD-0037,1,31165.03,9349.51,21815.52
ITEM-000173,ORD-00077,PROD-0069,3,4275.33,1282.6,11543.39
ITEM-000174,ORD-00077,PROD-0054,3,4451.78,1335.53,12019.81
ITEM-000175,ORD-00078,PROD-0009,4,113999.83,0.0,455999.32
ITEM-000176,ORD-00079,PROD-0061,3,3090.65,0.0,9271.95
ITEM-000177,ORD-00079,PROD-0053,2,1974.19,0.0,3948.38
ITEM-000178,ORD-00079,PROD-0042,3,472.22,0.0,1416.66
ITEM-000179,ORD-00079,PROD-0010,2,29080.61,0.0,58161.22
ITEM-000180,ORD-00080,PROD-0072,5,3464.52,3464.52,13858.08
